2026-06-27 09:18:34,996 | DEBUG    | src.fetcher | Response 200 in 0.45s (100581 bytes, final URL: https://rumbomundo.com/top-10-iceland-beaches/)
2026-06-27 09:18:35,005 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:35,006 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:35,010 | INFO     | src.parser | Parsed content: 12166 characters
2026-06-27 09:18:35,018 | DEBUG    | src.parser | Found 89 same-domain link(s)
2026-06-27 09:18:35,523 | INFO     | src.crawler | [21/60] depth 1: https://rumbomundo.com/top-10-icelands-volcanoes
2026-06-27 09:18:35,524 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-icelands-volcanoes
2026-06-27 09:18:35,994 | DEBUG    | src.fetcher | Response 200 in 0.47s (123316 bytes, final URL: https://rumbomundo.com/top-10-icelands-volcanoes/)
2026-06-27 09:18:36,010 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:36,010 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:36,022 | INFO     | src.parser | Parsed content: 23471 characters
2026-06-27 09:18:36,031 | DEBUG    | src.parser | Found 112 same-domain link(s)
2026-06-27 09:18:36,536 | INFO     | src.crawler | [22/60] depth 1: https://rumbomundo.com/top-10-places-in-iceland-off-the-beaten-track
2026-06-27 09:18:36,537 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-places-in-iceland-off-the-beaten-track
2026-06-27 09:18:37,087 | DEBUG    | src.fetcher | Response 200 in 0.55s (108993 bytes, final URL: https://rumbomundo.com/top-10-places-in-iceland-off-the-beaten-track/)
2026-06-27 09:18:37,101 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:37,101 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:37,106 | INFO     | src.parser | Parsed content: 17679 characters
2026-06-27 09:18:37,121 | DEBUG    | src.parser | Found 106 same-domain link(s)
2026-06-27 09:18:37,622 | INFO     | src.crawler | [23/60] depth 1: https://rumbomundo.com/top-10-most-beautiful-canyons-of-iceland
2026-06-27 09:18:37,622 | INFO     | src.fetcher | Requesting https://rumbomundo.com/top-10-most-beautiful-canyons-of-iceland
2026-06-27 09:18:38,068 | DEBUG    | src.fetcher | Response 200 in 0.45s (107532 bytes, final URL: https://rumbomundo.com/top-10-most-beautiful-canyons-of-iceland/)
2026-06-27 09:18:38,080 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:38,080 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:38,088 | INFO     | src.parser | Parsed content: 15274 characters
2026-06-27 09:18:38,095 | DEBUG    | src.parser | Found 96 same-domain link(s)
